gene_id	fraction_samples
ENSG00000059573.9	1.0
ENSG00000059588.10	1.0
ENSG00000059691.12	1.0
ENSG00000059728.11	1.0
ENSG00000059758.8	1.0
ENSG00000059769.20	1.0
ENSG00000059804.18	1.0
ENSG00000059915.17	1.0
ENSG00000060069.18	1.0
ENSG00000060138.13	1.0
ENSG00000060140.9	0.9375
ENSG00000060237.19	1.0
ENSG00000060339.14	1.0
ENSG00000060491.17	1.0
ENSG00000060558.4	1.0
ENSG00000060642.12	1.0
ENSG00000060656.20	1.0
ENSG00000060688.13	1.0
ENSG00000060709.17	0.95
ENSG00000060718.22	0.95
ENSG00000060749.17	1.0
ENSG00000060762.20	1.0
ENSG00000060971.19	1.0
ENSG00000060982.15	1.0
ENSG00000061273.18	1.0
ENSG00000061337.16	1.0
ENSG00000061455.11	0.9875
ENSG00000061656.11	1.0
ENSG00000061676.16	1.0
ENSG00000061794.13	1.0
ENSG00000061918.14	1.0
ENSG00000061936.10	1.0
ENSG00000061938.21	1.0
ENSG00000061987.16	1.0
ENSG00000062038.15	0.975
ENSG00000062194.16	1.0
ENSG00000062282.15	1.0
ENSG00000062370.17	1.0
ENSG00000062485.19	1.0
ENSG00000062524.16	0.95
ENSG00000062598.18	1.0
ENSG00000062650.20	1.0
ENSG00000062716.13	1.0
ENSG00000062725.10	1.0
ENSG00000062822.16	1.0
ENSG00000063046.18	1.0
ENSG00000063127.16	1.0
ENSG00000063169.12	1.0
ENSG00000063176.16	1.0
ENSG00000063177.13	1.0
ENSG00000063180.9	1.0
ENSG00000063241.8	1.0
ENSG00000063244.14	1.0
ENSG00000063245.15	1.0
ENSG00000063322.15	1.0
ENSG00000063587.15	1.0
ENSG00000063601.17	1.0
ENSG00000063660.9	1.0
ENSG00000063761.16	1.0
ENSG00000063854.13	1.0
ENSG00000063978.17	1.0
ENSG00000064012.24	1.0
ENSG00000064042.18	1.0
ENSG00000064102.15	1.0
ENSG00000064115.11	1.0
ENSG00000064199.7	1.0
ENSG00000064201.16	0.95
ENSG00000064205.11	0.9875
ENSG00000064225.13	1.0
ENSG00000064270.14	1.0
ENSG00000064300.9	1.0
ENSG00000064309.16	1.0
ENSG00000064313.13	1.0
ENSG00000064393.16	1.0
ENSG00000064419.14	1.0
ENSG00000064490.14	1.0
ENSG00000064545.15	1.0
ENSG00000064547.14	1.0
ENSG00000064601.21	1.0
ENSG00000064607.17	1.0
ENSG00000064651.14	1.0
ENSG00000064652.11	1.0
ENSG00000064655.20	1.0
ENSG00000064666.15	1.0
ENSG00000064687.13	1.0
ENSG00000064692.20	1.0
ENSG00000064703.13	1.0
ENSG00000064726.10	1.0
ENSG00000064763.12	1.0
ENSG00000064787.14	0.9875
ENSG00000064886.14	0.9875
ENSG00000064932.16	1.0
ENSG00000064933.19	1.0
ENSG00000064961.19	1.0
ENSG00000064989.13	1.0
ENSG00000064995.19	1.0
ENSG00000064999.16	1.0
ENSG00000065000.20	1.0
ENSG00000065029.15	1.0
ENSG00000065054.14	1.0
ENSG00000065057.9	1.0
ENSG00000065060.18	1.0
ENSG00000065135.12	1.0
ENSG00000065150.21	1.0
ENSG00000065154.12	1.0
ENSG00000065183.16	1.0
ENSG00000065243.20	1.0
ENSG00000065268.11	1.0
ENSG00000065308.5	1.0
ENSG00000065320.9	1.0
ENSG00000065325.13	0.9875
ENSG00000065328.17	0.9625
ENSG00000065357.20	1.0
ENSG00000065361.17	1.0
ENSG00000065413.20	1.0
ENSG00000065427.15	1.0
ENSG00000065457.11	1.0
ENSG00000065485.20	1.0
ENSG00000065491.8	1.0
ENSG00000065518.8	1.0
ENSG00000065526.13	1.0
ENSG00000065534.20	1.0
ENSG00000065548.19	1.0
ENSG00000065559.15	1.0
ENSG00000065600.13	1.0
ENSG00000065609.15	0.975
ENSG00000065613.15	1.0
ENSG00000065615.14	1.0
ENSG00000065618.21	1.0
ENSG00000065621.15	1.0
ENSG00000065665.21	1.0
ENSG00000065675.16	1.0
ENSG00000065717.16	1.0
ENSG00000065802.12	1.0
ENSG00000065809.14	1.0
ENSG00000065833.9	1.0
ENSG00000065882.18	1.0
ENSG00000065883.18	1.0
ENSG00000065911.13	1.0
ENSG00000065923.10	1.0
ENSG00000065970.9	1.0
ENSG00000065978.19	1.0
ENSG00000065989.16	1.0
ENSG00000066027.12	1.0
ENSG00000066044.15	1.0
ENSG00000066056.15	1.0
ENSG00000066084.13	1.0
ENSG00000066117.15	1.0
ENSG00000066135.13	1.0
ENSG00000066136.21	1.0
